zip_city_id;zip postal;city
468;3150;Wespelaar
469;3190;Boortmeerbeek
470;3191;Hever
471;3200;Aarschot
472;3200;Gelrode
473;3201;Langdorp
474;3202;Rillaar
475;3210;Linden
476;3210;Lubbeek
477;3211;Binkom
478;3212;Pellenberg
479;3220;Holsbeek
480;3220;Kortrijk-Dutsel
481;3220;Sint-Pieters-Rode
482;3221;Nieuwrode
483;3270;Scherpenheuvel
484;3271;Averbode
485;3271;Zichem
486;3272;Messelbroek
487;3272;Testelt
488;3290;Deurne
489;3290;Diest
490;3290;Schaffen
491;3290;Webbekom
492;3293;Kaggevinne
493;3294;Molenstede
494;3300;Bost
495;3300;Goetsenhoven
496;3300;Hakendover
497;3300;Kumtich
498;3300;Oorbeek
499;3300;Oplinter
500;3300;Sint-Margriete-Houtem
501;3300;Tienen
502;3300;Vissenaken
503;3320;Hoegaarden
504;3320;Meldert
505;3321;Outgaarden
506;3350;Drieslinter
507;3350;Linter
508;3350;Melkwezer
509;3350;Neerhespen
510;3350;Neerlinter
511;3350;Orsmaal-Gussenhoven
512;3350;Overhespen
513;3350;Wommersom
514;3360;Bierbeek
515;3360;Korbeek-Lo
516;3360;Lovenjoel
517;3360;Opvelp
518;3370;Boutersem
519;3370;Kerkom
520;3370;Neervelp
521;3370;Roosbeek
522;3370;Vertrijk
523;3370;Willebringen
524;3380;Bunsbeek
525;3380;Glabbeek
526;3381;Kapellen
527;3384;Attenrode
528;3390;Houwaart
529;3390;Sint-Joris-Winge
530;3390;Tielt
531;3391;Meensel-Kiezegem
532;3400;Eliksem
533;3400;Ezemaal
534;3400;Laar
535;3400;Landen
536;3400;Neerwinden
537;3400;Overwinden
538;3400;Rumsdorp
539;3400;Wange
540;3401;Waasmont
541;3401;Walsbets
542;3401;Walshoutem
543;3401;Wezeren
544;3404;Attenhoven
545;3404;Neerlanden
546;3440;Budingen
547;3440;Dormaal
548;3440;Halle-Booienhoven
549;3440;Helen-Bos
550;3440;Zoutleeuw
551;3450;Geetbets
552;3450;Grazen
553;3454;Rummen
554;3460;Assent
555;3460;Bekkevoort
556;3461;Molenbeek-Wersbeek
557;3470;Kortenaken
558;3470;Ransberg
559;3470;Sint-Margriete-Houtem
560;3471;Hoeleden
561;3472;Kersbeek-Miskom
562;3473;Waanrode
563;3500;Hasselt
564;3500;Sint-Lambrechts-Herk
565;3501;Wimmertingen
566;3510;Kermt
567;3510;Spalbeek
568;3511;Kuringen
569;3511;Stokrooie
570;3512;Stevoort
571;3520;Zonhoven
572;3530;Helchteren
573;3530;Houthalen
574;3540;Berbroek
575;3540;Donk
576;3540;Herk-de-Stad
577;3540;Schulen
578;3545;Halen
579;3545;Loksbergen
580;3545;Zelem
581;3550;Heusden
582;3550;Heusden-Zolder
583;3550;Zolder
584;3560;Linkhout
585;3560;Lummen
586;3560;Meldert
587;3570;Alken
588;3580;Beringen
589;3581;Beverlo
590;3582;Koersel
591;3583;Paal
592;3590;Diepenbeek
593;3600;Genk
594;3620;Gellik
595;3620;Lanaken
596;3620;Neerharen
597;3620;Veldwezelt
598;3621;Rekem
599;3630;Eisden
600;3630;Leut
601;3630;Maasmechelen
602;3630;Mechelen-aan-de-Maas
603;3630;Meeswijk
604;3630;Opgrimbie
605;3630;Vucht
606;3631;Boorsem
607;3631;Uikhoven
608;3640;Kessenich
609;3640;Kinrooi
610;3640;Molenbeersel
611;3640;Ophoven
612;3650;Dilsen
613;3650;Dilsen-Stokkem
614;3650;Elen
615;3650;Lanklaar
616;3650;Rotem
617;3650;Stokkem
618;3660;Opglabbeek
619;3665;As
620;3668;Niel-bij-As
621;3670;Ellikom
622;3670;Gruitrode
623;3670;Meeuwen
624;3670;Neerglabbeek
625;3670;Wijshagen
626;3680;Maaseik
627;3680;Neeroeteren
628;3680;Opoeteren
629;3690;Zutendaal
630;3700;'s Herenelderen
631;3700;Berg
632;3700;Diets-Heur
633;3700;Haren
634;3700;Henis
635;3700;Kolmont
636;3700;Koninksem
637;3700;Lauw
638;3700;Mal
639;3700;Neerrepen
640;3700;Nerem
641;3700;Overrepen
642;3700;Piringen
643;3700;Riksingen
644;3700;Rutten
645;3700;Sluizen
646;3700;Tongeren
647;3700;Vreren
648;3700;Widooie
649;3717;Herstappe
650;3720;Kortessem
651;3721;Vliermaalroot
652;3722;Wintershoven
653;3723;Guigoven
654;3724;Vliermaal
655;3730;Hoeselt
656;3730;Romershoven
657;3730;Sint-Huibrechts-Hern
658;3730;Werm
659;3732;Schalkhoven
660;3740;Beverst
661;3740;Bilzen
662;3740;Eigenbilzen
663;3740;Grote-Spouwen
664;3740;Hees
665;3740;Kleine-Spouwen
666;3740;Mopertingen
667;3740;Munsterbilzen
668;3740;Rijkhoven
669;3740;Rosmeer
670;3740;Waltwilder
671;3742;Martenslinde
672;3746;Hoelbeek
673;3770;Genoelselderen
674;3770;Herderen
675;3770;Kanne
676;3770;Membruggen
677;3770;Millen
678;3770;Riemst
679;3770;Val-Meer
